ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-512231,Source2,1,2022-09-08 02:02:05,2022-09-08 04:31:32,34.521172,-117.958076,,,0.0,Crash on CA-138 Pearblossom Hwy at 96th St.,Pearblossom Hwy,Littlerock,Los Angeles,CA,93543,US,US/Pacific,KPMD,2022-09-08 01:53:00,86.0,86.0,28.0,27.35,10.0,W,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-512257,Source2,1,2022-09-08 02:02:58,2022-09-08 02:32:20,34.177322,-118.877014,,,0.0,Crash on US-101 Southbound before Exit 44 Moorpark Rd.,US-101,Thousand Oaks,Ventura,CA,91360,US,US/Pacific,KCMA,2022-09-08 01:55:00,68.0,68.0,87.0,29.78,9.0,WNW,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-512277,Source2,3,2022-09-07 21:54:19,2022-09-07 22:38:20,38.593945,-121.504059,,,0.0,#1 lane blocked due to crash on I-5 Northbound at Richards Blvd / Bercut D.,I-5,Sacramento,Sacramento,CA,95811,US,US/Pacific,KSAC,2022-09-07 21:53:00,83.0,83.0,28.0,29.83,10.0,CALM,0.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-512340,Source2,2,2022-09-08 02:03:43,2022-09-08 02:33:13,33.850147,-117.875938,,,0.0,HOV lane blocked due to crash on CA-57 Southbound before Exit 5A CA-91 Exit 31.,CA-57,Anaheim,Orange,CA,92806,US,US/Pacific,KFUL,2022-09-08 01:53:00,79.0,79.0,66.0,29.76,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-512341,Source3,1,2022-09-08 02:30:59,2022-09-08 03:00:27,33.884056,-118.029007,,,0.0,Crash on Valley View Ave at I-5.,Firestone Blvd,Santa Fe Springs,Los Angeles,CA,90670,US,US/Pacific,KFUL,2022-09-08 02:53:00,78.0,78.0,66.0,29.74,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-512367,Source2,2,2022-09-08 01:30:40,2022-09-08 02:00:15,33.85376,-117.90676100000002,,,0.0,Slow lane blocked due to crash on CA-91 Eastbound before Exit 29 East St.,CA-91 E,Anaheim,Orange,CA,92805,US,US/Pacific,KFUL,2022-09-08 01:53:00,79.0,79.0,66.0,29.76,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-512382,Source2,2,2022-09-08 12:28:01,2022-09-08 12:57:19,37.288391,-120.456268,,,0.0,Slow lane blocked due to crash on CA-99 Northbound at Exit 186A Childs Ave.,CA-99,Merced,Merced,CA,95341,US,US/Pacific,KMCE,2022-09-08 12:53:00,100.0,100.0,18.0,29.56,3.0,WNW,8.0,0.0,Haze,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512388,Source2,1,2022-09-08 08:17:48,2022-09-08 09:05:16,38.542351,-123.289589,,,0.0,Crash on CA-1 Northbound at Ruoff Dr.,Kelly Ct,Jenner,Sonoma,CA,95450-9704,US,US/Pacific,KSTS,2022-09-08 07:53:00,63.0,63.0,75.0,29.69,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512413,Source2,3,2022-09-08 12:46:45,2022-09-08 13:16:02,33.98748,-118.137558,,,0.0,Slow lane blocked due to crash on I-5 Southbound at Exit 128A Bandini Blvd.,I-5 S,Los Angeles,Los Angeles,CA,90040,US,US/Pacific,KCQT,2022-09-08 12:47:00,88.0,88.0,48.0,29.59,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512439,Source2,3,2022-09-08 09:20:00,2022-09-08 10:51:49,33.779774,-117.878792,,,2.440000057220459,One lane blocked due to crash on CA-57 Southbound between Exits 1B 1E Orangewood Ave and Exit 1D I-5 Exits 105B 106 107A 107B.,105B,Santa Ana,Orange,CA,92706,US,US/Pacific,KSNA,2022-09-08 08:53:00,81.0,81.0,65.0,29.8,10.0,CALM,0.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
